run_id,geometry_id,repeat_index,seed,target_distance_m,total_distance_m,waypoint_count,stop_count,speed_m_s,altitude_m,total_flight_time_s,total_flight_energy_wh,mean_power_w,battery_voltage_mean_v,battery_current_mean_a,valid_energy_intervals,sample_count,valid
f42a50ab_geometry_0036_01,geometry_0036,1,272849424,224.6630982478237,224.66309824782365,8,8,2.5,13.0,154.8881647090002,12.641384726053882,293.79392560866415,16.25304274192697,18.101916946499596,1548,1549,True
f42a50ab_geometry_0037_01,geometry_0037,1,2010258946,165.7943143807844,165.79431438078439,5,5,2.5,13.0,123.8938462619999,9.895539099206509,287.50824496530345,16.30171101241462,17.66771546983678,1238,1239,True
f42a50ab_geometry_0038_01,geometry_0038,1,49310608,168.13575551825406,168.1357555182541,6,6,2.5,13.0,126.88778492299934,10.204607998742556,289.49073877464417,16.29534911057252,17.79499566032191,1268,1269,True
f42a50ab_geometry_0039_01,geometry_0039,1,1146005448,219.89197099393402,219.89197099393408,7,7,2.5,13.0,149.8913849619994,12.22753836429207,293.6455558438821,16.259974087135564,18.085376475351783,1498,1499,True
f42a50ab_geometry_0040_01,geometry_0040,1,479112937,222.7661663318308,222.7661663318308,8,8,2.5,13.0,154.88676146099988,12.61925522646803,293.2797957707027,16.253792897588287,18.069676758085357,1548,1549,True
f42a50ab_geometry_0041_01,geometry_0041,1,1948728483,158.6061960963511,158.6061960963511,4,4,2.5,13.0,117.89367047700034,9.359623478181737,285.77606798896954,16.311930364425958,17.551992719549055,1178,1179,True
f42a50ab_geometry_0042_01,geometry_0042,1,1131247330,232.61054840337283,232.6105484033728,2,2,2.5,13.0,139.88755949299957,11.332656289726394,291.617826258851,16.275990057366503,17.94417398345202,1398,1399,True
f42a50ab_geometry_0043_01,geometry_0043,1,457031004,217.14837110899822,217.14837110899822,6,6,2.5,13.0,145.88671639800032,11.81186703555594,291.4492374603163,16.267977444581415,17.942912521771447,1458,1459,True
f42a50ab_geometry_0044_01,geometry_0044,1,854316681,222.01440929118803,222.01440929118806,8,8,2.5,13.0,153.88790316400082,12.55986175070305,293.7966546171833,16.254375735376467,18.100629841801098,1538,1539,True
f42a50ab_geometry_0045_01,geometry_0045,1,693847829,139.82621641458366,139.82621641458363,3,3,2.5,13.0,105.88839036099944,8.385321354926951,285.0511666360282,16.328384143660045,17.491104450502466,1058,1059,True
f42a50ab_geometry_0046_01,geometry_0046,1,2456273,235.53597577473627,235.5359757747363,6,6,2.5,13.0,153.88977359600085,12.504138412754504,292.4929457241977,16.25616972379827,18.018933952469535,1538,1539,True
f42a50ab_geometry_0047_01,geometry_0047,1,83651970,175.1189814724486,175.1189814724486,6,6,2.5,13.0,129.8869783729997,10.429110745755027,289.0266472027602,16.29195537669921,17.770222848483446,1298,1299,True
f42a50ab_geometry_0048_01,geometry_0048,1,1320763135,228.65577860233873,228.65577860233873,2,2,2.5,13.0,137.8889431360003,11.154654111876557,291.1998483878533,16.279029034288833,17.915431029559738,1378,1379,True
f42a50ab_geometry_0049_01,geometry_0049,1,338258951,89.26802663907,89.26802663907,3,3,2.5,13.0,84.8885522670007,6.581201068214838,279.0584418414984,16.363119747669593,17.093662645277274,848,849,True
f42a50ab_geometry_0050_01,geometry_0050,1,297265480,197.10521517514044,197.10521517514044,2,2,2.5,13.0,125.88856855099948,10.061972974499302,287.93997198392475,16.299011104626192,17.69639067159335,1257,1258,True
f42a50ab_geometry_0051_01,geometry_0051,1,540137296,217.56989613741675,217.56989613741672,8,8,2.5,13.0,151.88766975,12.385977938729695,293.5437342321453,16.257372064446052,18.081981145483127,1518,1519,True
f42a50ab_geometry_0052_01,geometry_0052,1,709214891,185.5601316395788,185.56013163957883,3,3,2.5,13.0,123.88717304900001,9.9420615974154,288.87232698276955,16.300190444527566,17.751904319710217,1238,1239,True
f42a50ab_geometry_0053_01,geometry_0053,1,1817363615,171.98502538822856,171.9850253882286,4,4,2.5,13.0,122.88854005099984,9.801955920041406,287.1178464407185,16.30366880356344,17.641862923089956,1228,1229,True
f42a50ab_geometry_0054_01,geometry_0054,1,863937247,228.6261588803483,228.62615888034833,3,3,2.5,13.0,141.88764661000096,11.46461856297109,290.8555792154371,16.274257309089,17.899710645567076,1418,1419,True
f42a50ab_geometry_0055_01,geometry_0055,1,1603828849,190.44357297366443,190.4435729736644,7,7,2.5,13.0,137.893802169001,11.18878464538417,292.08209731374905,16.277510580072548,17.97146438176462,1378,1379,True
f42a50ab_geometry_0056_01,geometry_0056,1,1939118223,227.95369015715346,227.95369015715346,5,5,2.5,13.0,147.88984510699993,11.962887994953773,291.18364750723003,16.26575735245628,17.928755468537148,1478,1479,True
f42a50ab_geometry_0057_01,geometry_0057,1,274989148,119.66489818656127,119.66489818656127,2,2,2.5,13.0,94.8890114629994,7.4257239328425015,281.6898223737773,16.346964937618083,17.26860863528557,948,949,True
f42a50ab_geometry_0058_01,geometry_0058,1,988335251,99.02893344101648,99.02893344101648,4,4,2.5,13.0,92.88811587800046,7.281237709439036,282.15561621023284,16.34876288792802,17.295381772826126,928,929,True
f42a50ab_geometry_0059_01,geometry_0059,1,304912982,165.1408689073497,165.1408689073497,6,6,2.5,13.0,124.88905412900021,10.054916718756763,289.8118304647812,16.297369101030338,17.81220134732435,1248,1249,True
f42a50ab_geometry_0060_01,geometry_0060,1,983297492,213.43941292344712,213.43941292344715,7,7,2.5,13.0,147.886471875001,12.00609138043396,292.23498328958516,16.264313158108788,17.994793376758786,1478,1479,True
